post_id,chunk_num,cluster,z0,z1,z2,z3,z4
l7084i,0,27,11.81974,10.581696,9.700098,-0.15713684,10.24742
lbeurn,3,-1,9.870896,8.745844,11.6229725,-0.3531373,8.203291
l70bba,0,-1,10.423791,9.628654,11.4274025,1.6554677,8.581083
l7ixaz,0,15,8.488621,12.064382,9.100219,0.32765445,8.4035425
l6zlm1,0,17,9.80134,11.141246,11.979769,-0.5628913,7.3656554
lc3sem,1,-1,11.053142,9.744619,10.108547,-0.31922063,9.310408
l7o2rq,17,15,8.632607,12.087498,9.065039,0.109048344,9.191067
l7rx75,3,-1,11.200138,10.028691,11.491072,-0.53100365,8.302581
l9gwx2,2,-1,9.810764,9.769782,11.830911,-0.17947745,7.5266995
l70ez7,1,33,9.477143,9.679747,12.369249,-0.015762908,8.1745205
l6zg4k,0,28,8.856075,9.6745405,11.366145,-0.96481884,7.258561
l716yp,0,15,8.415075,12.037817,9.341434,0.151656,8.751742
l71ztg,0,-1,11.283432,10.799209,9.510625,0.2412723,10.7376795
l9nkc6,0,15,8.833839,11.692337,9.205184,0.6979445,7.8810806
l70i18,0,-1,10.587648,10.630222,10.874675,0.041747212,8.582688
l704fv,1,33,10.15324,9.383715,11.675527,0.25901735,7.7765207
lalaqy,0,17,9.794425,11.531093,11.934188,-0.5128436,7.192573
l71pav,0,-1,11.204395,9.466473,11.350368,-0.17887278,8.053656
l727bp,0,-1,10.814314,9.903483,10.883894,1.5441358,8.384463
l72cax,0,33,10.012737,9.473568,11.905062,-0.05218378,7.9219704
l8te7d,0,-1,9.6596,8.8371935,11.786143,0.8366739,8.250657
laj2hf,6,15,8.627409,11.742413,9.563677,0.4642486,8.049208
lc4boy,3,33,9.932392,9.953278,11.6997175,0.017428903,7.8252335
l6wxui,1,27,11.408028,10.876078,10.30487,0.106248505,9.62257
l735h1,0,-1,11.051645,11.406448,9.90602,0.06566634,9.906349
l8beq9,0,-1,10.85593,9.318345,10.392697,-0.049124792,8.166134
l6qb4n,3,13,10.0215025,11.492051,9.136124,1.4067587,7.269822
l71j2w,0,33,9.335913,9.501406,11.984154,0.43505117,8.7652
lbd2oj,9,27,11.263631,11.289124,9.931163,0.09060679,10.019418
la4ahu,3,27,11.383185,10.585474,9.526634,-0.5419474,11.148295
l70d19,0,27,11.962105,10.665195,9.816762,0.22970378,10.525623
l9mkw3,3,17,9.614041,11.463932,11.806028,-0.753917,7.002686
l6h5vm,1,-1,9.381966,10.029915,11.972372,-0.65627676,7.3867292
l6yw6k,0,33,11.345362,9.165419,11.371122,-0.8557228,8.271662
l6yy99,0,-1,9.694265,9.596993,11.822325,0.30419084,8.398432
l71hml,0,30,10.22838,9.954543,9.457587,1.3775135,8.006558
lak773,2,17,9.727009,11.45379,11.891489,-0.7255378,7.0526423
lbpt4m,8,-1,11.4304695,10.263579,9.898215,-0.50633466,10.408149
l70utt,0,-1,10.064157,10.332941,10.562791,-0.3578736,7.9822836
l71zuf,2,28,8.586572,9.033377,11.714824,-1.0434732,7.458408
lc4y2h,2,-1,11.127539,11.016527,9.819826,1.5468742,9.898247
laj1ws,2,33,11.753671,9.516837,10.870486,1.1114019,8.251299
l7sp9f,1,-1,10.202505,9.899288,11.152612,1.2092472,8.020315
